"filename", "language", "C++", "Markdown", "YAML", "JSON", "HTML", "Swift", "XML", "Dart", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\my_plan_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 538, 0, 0, 0, 75, 613
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\passcode\configure_passcode_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 20, 152
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\passcode\passcode_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 369, 0, 0, 0, 82, 451
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\settings_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 448, 0, 0, 1, 90, 539
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\sharing\configure_sharing_password.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 23, 157
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\sharing\share_file_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 225, 0, 0, 1, 46, 272
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\splash_screen_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 279, 0, 0, 0, 97, 376
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\statistics_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 445, 0, 0, 3, 92, 540
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\pages\upload_ps_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 264, 0, 0, 0, 40, 304
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\previewer\preview_audio.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 411, 0, 0, 0, 89, 500
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\previewer\preview_file.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 836, 0, 0, 0, 219, 1055
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\previewer\preview_image.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 16, 78
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\previewer\preview_pdf.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 16, 75
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\previewer\preview_text.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 22, 113
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\previewer\preview_video.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 379, 0, 0, 0, 60, 439
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\provider\ps_data_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 7, 28
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\provider\ps_storage_data.provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 13, 49
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\provider\storage_data_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 30, 122
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\provider\temp_data_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 16, 58
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\provider\temp_payment_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 7, 28
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\provider\user_data_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 11, 42
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\public_storage_query\byte_getter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 42, 171
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\public_storage_query\data_retriever.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 22, 86
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\public_storage_query\date_getter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 28, 71
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\public_storage_query\get_uploader_name.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 14, 50
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\public_storage_query\name_getter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 18, 55
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\public_storage_query\thumbnail_getter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 17, 48
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\public_storage_query\title_getter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 20, 57
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\public_storage_query\uploader_getter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 8, 25
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\sharing_query\add_password_sharing.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 17, 57
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\sharing_query\process_file_sharing.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 50, 206
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\sharing_query\share_file_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 17, 89
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\sharing_query\sharing_data_receiver.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 32, 121
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\sharing_query\sharing_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 33, 81
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\sharing_query\sharing_username.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 15, 48
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\sharing_query\verify_sharing.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 11, 33
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\themes\theme_color.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\themes\theme_style.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 18, 154
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\ui_dialog\alert_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 5, 112
